payment_type,created_at,claim_amount
payment_type_paypal,2/27/2022,9.00
payment_type_paypal,2/3/2022,1.00
payment_type_paypal,2/10/2022,16.00
payment_type_paypal,2/24/2022,15.00
payment_type_paypal,2/16/2022,5.00
payment_type_paypal,2/13/2022,1.00
payment_type_paypal,2/7/2022,13.00
payment_type_paypal,2/6/2022,9.00
payment_type_paypal,2/26/2022,2.00
payment_type_paypal,2/5/2022,4.00
payment_type_paypal,2/26/2022,16.00
payment_type_paypal,2/11/2022,10.00
payment_type_paypal,2/17/2022,12.00
payment_type_paypal,2/4/2022,7.00
payment_type_paypal,2/1/2022,20.00
payment_type_paypal,2/20/2022,7.00
payment_type_paypal,2/14/2022,6.00
payment_type_paypal,2/14/2022,20.00
payment_type_paypal,2/22/2022,17.00
payment_type_paypal,2/22/2022,1.00
payment_type_zelle,2/25/2022,4.00
payment_type_zelle,2/8/2022,20.00
payment_type_zelle,2/17/2022,3.00
payment_type_zelle,2/20/2022,19.00
payment_type_zelle,2/28/2022,2.00
payment_type_zelle,2/25/2022,10.00
payment_type_zelle,2/26/2022,11.00
payment_type_zelle,2/13/2022,11.00
payment_type_zelle,2/18/2022,20.00
payment_type_zelle,2/22/2022,6.00
payment_type_zelle,2/18/2022,12.00
payment_type_zelle,2/23/2022,11.00
payment_type_zelle,2/11/2022,17.00
payment_type_zelle,2/7/2022,3.00
payment_type_zelle,2/26/2022,16.00
payment_type_zelle,2/4/2022,13.00
payment_type_zelle,2/21/2022,2.00
payment_type_zelle,2/25/2022,3.00
payment_type_zelle,2/21/2022,15.00
payment_type_zelle,2/2/2022,20.00
payment_type_zelle,2/12/2022,16.00
payment_type_ach,2/25/2022,17.00
payment_type_ach,2/19/2022,18.00
payment_type_ach,2/9/2022,20.00
payment_type_ach,2/5/2022,4.00
payment_type_ach,2/22/2022,1.00
payment_type_ach,2/8/2022,13.00
payment_type_ach,2/10/2022,4.00
payment_type_ach,2/17/2022,18.00
payment_type_ach,2/28/2022,7.00
payment_type_ach,2/14/2022,4.00
payment_type_ach,2/3/2022,15.00
payment_type_ach,2/13/2022,17.00
payment_type_ach,2/27/2022,7.00
payment_type_ach,2/8/2022,16.00
payment_type_ach,2/4/2022,9.00
payment_type_ach,2/17/2022,20.00
payment_type_ach,2/5/2022,17.00
payment_type_ach,2/22/2022,4.00
payment_type_ach,2/20/2022,16.00
payment_type_ach,2/21/2022,8.00
payment_type_ach,2/15/2022,7.00
payment_type_debit,2/1/2022,16.00
payment_type_debit,2/20/2022,2.00
payment_type_debit,2/18/2022,10.00
payment_type_debit,2/19/2022,2.00
payment_type_debit,2/11/2022,17.00
payment_type_debit,2/9/2022,17.00
payment_type_debit,2/13/2022,1.00
payment_type_debit,2/24/2022,17.00
payment_type_debit,2/19/2022,18.00
payment_type_debit,2/9/2022,18.00
payment_type_debit,2/3/2022,3.00
payment_type_debit,2/1/2022,3.00
payment_type_debit,2/7/2022,18.00
payment_type_debit,2/15/2022,4.00
payment_type_debit,2/16/2022,15.00
payment_type_debit,2/12/2022,11.00
payment_type_debit,2/1/2022,18.00
payment_type_debit,2/13/2022,6.00
payment_type_debit,2/2/2022,1.00
payment_type_debit,2/26/2022,5.00
payment_type_debit,2/22/2022,16.00
payment_type_wire,2/2/2022,4.00
payment_type_wire,2/17/2022,17.00
payment_type_wire,2/10/2022,13.00
payment_type_wire,2/17/2022,16.00
payment_type_wire,2/4/2022,13.00
payment_type_wire,2/19/2022,7.00
payment_type_wire,2/9/2022,11.00
payment_type_wire,2/17/2022,3.00
payment_type_wire,2/13/2022,4.00
payment_type_wire,2/8/2022,18.00
payment_type_wire,2/28/2022,17.00
payment_type_wire,2/24/2022,4.00
payment_type_wire,2/19/2022,3.00
payment_type_wire,2/20/2022,13.00
payment_type_wire,2/24/2022,11.00
payment_type_wire,2/2/2022,16.00
payment_type_wire,2/5/2022,4.00
payment_type_paypal,1/9/2022,1.00
payment_type_paypal,1/7/2022,21.00
payment_type_paypal,1/13/2022,24.00
payment_type_paypal,1/16/2022,8.00
payment_type_paypal,1/18/2022,12.00
payment_type_paypal,1/9/2022,29.00
payment_type_paypal,1/27/2022,30.00
payment_type_paypal,1/18/2022,16.00
payment_type_paypal,1/14/2022,30.00
payment_type_paypal,1/15/2022,20.00
payment_type_paypal,1/8/2022,3.00
payment_type_paypal,1/26/2022,22.00
payment_type_paypal,1/19/2022,30.00
payment_type_paypal,1/27/2022,5.00
payment_type_paypal,1/4/2022,12.00
payment_type_paypal,1/1/2022,9.00
payment_type_paypal,1/18/2022,2.00
payment_type_paypal,1/24/2022,15.00
payment_type_paypal,1/14/2022,26.00
payment_type_paypal,1/21/2022,27.00
payment_type_zelle,1/12/2022,20.00
payment_type_zelle,1/7/2022,26.00
payment_type_zelle,1/16/2022,22.00
payment_type_zelle,1/13/2022,8.00
payment_type_zelle,1/11/2022,19.00
payment_type_zelle,1/6/2022,15.00
payment_type_zelle,1/25/2022,29.00
payment_type_zelle,1/23/2022,22.00
payment_type_zelle,1/16/2022,15.00
payment_type_zelle,1/4/2022,11.00
payment_type_zelle,1/27/2022,13.00
payment_type_zelle,1/3/2022,5.00
payment_type_zelle,1/19/2022,6.00
payment_type_zelle,1/14/2022,17.00
payment_type_zelle,1/29/2022,7.00
payment_type_zelle,1/2/2022,28.00
payment_type_zelle,1/6/2022,1.00
payment_type_zelle,1/9/2022,10.00
payment_type_zelle,1/10/2022,30.00
payment_type_zelle,1/26/2022,21.00
payment_type_zelle,1/13/2022,11.00
payment_type_ach,1/19/2022,19.00
payment_type_ach,1/24/2022,1.00
payment_type_ach,1/30/2022,9.00
payment_type_ach,1/4/2022,27.00
payment_type_ach,1/31/2022,16.00
payment_type_ach,1/1/2022,2.00
payment_type_ach,1/28/2022,6.00
payment_type_ach,1/17/2022,18.00
payment_type_ach,1/7/2022,23.00
payment_type_ach,1/3/2022,28.00
payment_type_ach,1/11/2022,15.00
payment_type_ach,1/4/2022,3.00
payment_type_ach,1/6/2022,12.00
payment_type_ach,1/11/2022,18.00
payment_type_ach,1/3/2022,26.00
payment_type_ach,1/6/2022,17.00
payment_type_ach,1/4/2022,7.00
payment_type_ach,1/28/2022,13.00
payment_type_ach,1/7/2022,2.00
payment_type_ach,1/29/2022,27.00
payment_type_ach,1/3/2022,15.00
payment_type_debit,1/29/2022,2.00
payment_type_debit,1/1/2022,27.00
payment_type_debit,1/12/2022,10.00
payment_type_debit,1/1/2022,13.00
payment_type_debit,1/26/2022,28.00
payment_type_debit,1/16/2022,24.00
